NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PRC_UAA_AV,NUTS_AREA,PRC_NUTS_AV
FR,France,FR7,Centre-Est (FR) (NUTS 2013),NUTS1,R2000,,,,,6971.11,
FR,France,FR71,Rhône-Alpes (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR72,Auvergne (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR8,Méditerranée (NUTS 2013),NUTS1,R2000,,,,,6745.52,
FR,France,FR81,Languedoc-Roussillon (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR82,Provence-Alpes-Côte d'Azur (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR83,Corse (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR9,Départements d'outre-mer (NUTS 2010),NUTS1,R2000,,,,,,
FR,France,FR91,Guadeloupe (NUTS 2010),NUTS2,R2000,,,,,,
FR,France,FR92,Martinique (NUTS 2010),NUTS2,R2000,,,,,,
FR,France,FR93,Guyane (NUTS 2010),NUTS2,R2000,,,,,,
FR,France,FR94,Réunion (NUTS 2010),NUTS2,R2000,,,,,,
FR,France,FRA,Départements d'outre-mer (NUTS 2013),NUTS1,R2000,,,,,8886.82,
FR,France,FRA1,Guadeloupe (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FRA2,Martinique (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FRA3,Guyane (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FRA4,La Réunion (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FRA5,Mayotte (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FRB,Centre - Val de Loire,NUTS1,R2000,30.99,2375.84,2389.86,"1,345",,
FR,France,FRB0,Centre - Val de Loire,NUTS2,R2000,30.99,2375.84,2389.86,"1,345",3915.09,0.792
FR,France,FRC,Bourgogne - Franche-Comté,NUTS1,R2000,2.55,163.65,2549.1,0.1025,,
FR,France,FRC1,Bourgogne,NUTS2,R2000,2.55,163.65,1833.28,0.1425,3158.2,0.078
FR,France,FRC2,Franche-Comté,NUTS2,R2000,0,0,715.82,0,1620.23,0
FR,France,FRD,Normandie,NUTS1,R2000,35.73,3235.44,2077.08,"18,075",,
FR,France,FRD1,Basse-Normandie,NUTS2,R2000,7.23,646.15,1271.58,0.6975,1758.93,0.41
FR,France,FRD2,Haute-Normandie,NUTS2,R2000,28.51,2589.29,805.5,"35,525",1231.74,"2,316"
FR,France,FRE,Hauts-de-France,NUTS1,R2000,219.36,18564.53,2182.03,"102,225",,
FR,France,FRE1,Nord-Pas-de-Calais,NUTS2,R2000,64.3,5752.58,829.13,"78,525",1241.41,5.18
FR,France,FRE2,Picardie,NUTS2,R2000,155.06,12811.95,1352.9,"116,775",1939.95,"7,994"
FR,France,FRF,Grand Est,NUTS1,R2000,109.2,8942.01,3058.28,3.66,,
FR,France,FRF1,Alsace,NUTS2,R2000,5.85,509.7,343.25,1.76,828.02,0.706
FR,France,FRF2,Champagne-Ardenne,NUTS2,R2000,102.91,8401,1546.67,"68,125",2560.58,"4,022"
FR,France,FRF3,Lorraine,NUTS2,R2000,0.44,31.31,1168.35,0.04,2354.74,0.018
FR,France,FRG,Pays-de-la-Loire,NUTS1,R2000,1.09,80.92,2280.58,0.0475,,
FR,France,FRG0,Pays-de-la-Loire,NUTS2,R2000,1.09,80.92,2280.58,0.0475,3208.18,0.034
